shop_name,address,latitude,longitude,city,postcode
audio2000 la ferte mace,4 Rue d'Hautvie,49.085609,3.944546,Hautvillers,51160
audio2000 la ferte sous jouarre,12-14 Place de l'Hôtel de Ville,48.341624,7.294011,Villé,67220
audio2000 la seyne sur mer,"Immeuble Tamaris Bay, Les Sablettes 2271 Corniche Georges Pompidou",44.19492,3.655125,Le Pompidou,48110
audio2000 la seyne sur mer,6 quai Saturnin Fabre,43.07469,1.417257,Gabre,09290
audio2000 la ville du bois,Centre commercial Carrefour la,47.299217,-1.492362,Carquefou,44470
audio2000 lagny sur marne,5-7 Rue des Marchés,44.974324,5.109196,Marches,26300
audio2000 lannion,11 Place du Général Leclerc,47.91879,1.088086,La Ville-aux-Clercs,41160
audio2000 le mans,Parc Manceau ZAC de l'Ardoise,44.097671,4.696721,Laudun-l'Ardoise,30290
audio2000 le quesnoy,Centre commercial Porte Le Quesnoy,50.251938,3.639792,Le Quesnoy,59530
audio2000 le viel evreux,380 rue Clément Ader Batiment 1 Local 5,43.826812,4.026459,Saint-Clément,30260
audio2000 lempdes,Centre commercial CORA,48.767686,-1.201998,Saint-Jean-du-Corail-des-Bois,50370
audio2000 levallois perret,60 Rue Louise Michel,43.973226,6.019112,Puimichel,04700
audio2000 lievin,Centre commercial Carrefour ZAC les marichelles,49.71738,3.954075,Agnicourt-et-Séchelles,02340
audio2000 lisieux,33 place de la République,48.252341,-0.776378,Placé,53240
audio2000 longuenesse,Centre commercial Auchan Rive de l'Aa 12 avenue Frais Fonds,46.25107,2.228771,Trois-Fonds,23230
audio2000 loudeac,33 Rue de Pontivy,48.074525,-2.981764,Pontivy,56300
audio2000 lyon,63-65 Avenue Jean Jaurès,45.057538,0.552896,Jaure,24140
audio2000 manosque,1 Avenue Jean Giono manosque,43.831481,5.784263,Manosque,04100
audio2000 maubeuge,Espace Rive Gauche/ avenue Jean Mabuse,48.781771,3.30575,La Ferté-Gaucher,77320
audio2000 maurepas,12 Allée du Bourbonnais,46.931962,2.702836,Lugny-Bourbonnais,18350
audio2000 metz,2 rue de Champagne,48.02021,0.335501,Champagné,72470
audio2000 mezzavia,"Lieu Dit Stagnacciu, Parc d'activités de Mezzavia",44.943024,0.868544,Saint-Avit-de-Vialard,24260
audio2000 moisselles,Centre commercial LECLERC / RN1,49.806795,3.226056,Fontaine-lès-Clercs,02680
audio2000 molsheim,21 Place de l'Hotel de Ville,48.341624,7.294011,Villé,67220
audio2000 montlucon,28 bis Boulevard de Courtais,46.471213,2.435862,Courçais,03370
audio2000 montlucon,13 rue Albert Einstein montlucon,46.347976,2.601651,Montluçon,03100
audio2000 montreuil sur mer,72 rue Pierre Ledent,48.89962,3.037391,Pierre-Levée,77580
audio2000 morhange,2 place Bérot,48.252341,-0.776378,Placé,53240
audio2000 moulins,9 Place de l'Hôtel de Ville,48.341624,7.294011,Villé,67220
audio2000 mozac,67 avenue Jean Jaurès,45.057538,0.552896,Jaure,24140
audio2000 mulhouse,7 Avenue Auguste Wicky mulhouse,47.743531,7.340363,Mulhouse,68100
audio2000 mundolsheim,Centre Commercial  CORA,48.767686,-1.201998,Saint-Jean-du-Corail-des-Bois,50370
audio2000 munster,18 Rue Martin Hilti – ZI munster,48.043023,7.160553,Munster,68140
audio2000 murs erigne,26 Rue Valentin Des Ormeaux Centre Commercial Rive Sud,48.239011,-0.619259,Commer,53470
audio2000 nantes,11 Place Royale,48.143323,1.053942,Chapelle-Royale,28290
audio2000 noisy le grand,227 Rue Pierre Brossolette,42.555533,2.271136,Olette,66360
audio2000 nyons,29 avenue Henri Rochier nyons,44.361355,5.137335,Nyons,26110
audio2000 olivet,77 rue de champagne,48.019792,0.333913,Champagné,72470
audio2000 orleans,79 rue Bannier,43.624771,1.751505,Bannières,81500
audio2000 pamiers,5/7 Rue de la République,46.387098,6.542815,Publier,74500
audio2000 papeete tahiti,BP 40026 Fare Tony,48.754643,2.296292,Antony,92160
audio2000 paris,28 rue des Petits Champs,49.550835,3.251885,Champs,02670
audio2000 paris,204 rue de Tolbiac,43.551903,1.779969,Albiac,31460
audio2000 paris,10 rue Jeanne d'Arc,44.407446,4.395403,Vallon-Pont-d'Arc,07150
audio2000 paris,92 Avenue des ternes,49.909637,3.098194,Bernes,80240
audio2000 paris,110 bis Rue Ordener,43.204275,-0.226571,Bordères,64800
audio2000 peage de roussillon,116 Rue de la République,50.272494,1.667336,Rue,80120
audio2000 peronne,22 Place Louis Daudre peronne,49.929524,2.934465,Péronne,80200
audio2000 pluvigner,10 rue Saint-Michel,48.073449,2.375888,Saint-Michel,45340
audio2000 pontorson,31 rue du Couesnon,48.589077,-1.591359,Roz-sur-Couesnon,35610
audio2000 pornic,37 Rue Jean Moulin,43.939514,4.5643,Remoulins,30210
audio2000 pornichet,6 Boulevard du port,46.167293,5.564633,Port,01460
audio2000 puilboreau,Galerie Centre Commercial Hyper U,50.049345,1.417728,Eu,76260
audio2000 quetigny,Centre commercial Grand Quétigny Avenue de Bourgogne,47.313457,5.112018,Quetigny,21800
audio2000 redon,50 route de Rennes,48.116371,-1.722696,Rennes,35000
audio2000 reims,4 Rue de Cernay,49.008198,0.325794,Cernay,14290
audio2000 rennes,15 Quai Lamennais,16.271538,-61.633066,Lamentin,97129
audio2000 rennes,5 Bis rue du Bosphore Tour Alma 2ème étage,50.272494,1.667336,Rue,80120
audio2000 rethel,2 rue Colbert,48.672084,2.696468,Coubert,77170
audio2000 riom,16 rue du Commerce,48.241475,-0.619973,Commer,53470
audio2000 rives sur fure,66 Boulevard de la République,49.612538,0.688564,Valliquerville,76190
audio2000 rixheim,23 Grand Rue Pierre Braun,46.368423,4.567605,Brandon,71520
audio2000 roissy en brie,1 Avenue Ancel de Garlande,45.918093,3.192165,Clerlande,63720
audio2000 romorantin,108 Rue Georges Clémenceau,49.114054,0.138035,Les Monceaux,14100
audio2000 rouffach,35 A rue du Général de Gaulle,43.211909,1.932577,Generville,11270
audio2000 ruaudin maine street,/ZAC des Hunaudières,48.586166,4.107223,Allibaudières,10700
