address,latitude,longitude,city,postcode
C.C. Carrefour 35510 CESSON-SÉVIGNÉ FR,48.137179,-1.620461,Cesson-Sévigné,35510
C.C. Chamnord - 1097 avenue des Landiers 73000 CHAMBÉRY FR,45.603881,5.89266,Chambéry,73000
30 route de Bordeaux 37170 CHAMBRAY-LÈS-TOURS FR,47.350358,0.70032,Chambray-lès-Tours,37170
32 rue de l'Église – 2 place Lénine 94500 CHAMPIGNY-SUR-MARNE FR,48.811764,2.511368,Champigny-sur-Marne,94500
990 rue de l'Arêtier 16430 CHAMPNIERS FR,45.685579,0.178228,Champniers,16430
"Parc commercial CLOS DU CHENE, avenue de la Ferme Briarde 77600 CHANTELOUP-EN-BRIE FR",48.856019,2.753518,Chanteloup-en-Brie,77600
41 cours Briand 08000 CHARLEVILLE-MÉZIÈRES FR,49.76941,4.719709,Charleville-Mézières,08000
Z.I. rue de la Plaine 02400 CHATEAU-THIERRY FR,49.034244,3.391638,Château-Thierry,02400
12 cours Carnot 13160 CHÂTEAURENARD FR,43.882514,4.854187,Châteaurenard,13160
49-51 avenue de la Division Leclerc 92290 CHÂTENAY-MALABRY FR,48.761843,2.286838,Châtenay-Malabry,92290
5 boulevard Ampère 79180 CHAURAY FR,46.339625,-0.382122,Chauray,79180
Zone Commerciale Leclerc - 8 rue Henri Paul Spaak 49120 CHEMILLÉ-EN-ANJOU FR,47.209286,-0.727525,Chemillé-en-Anjou,49120
52 bis rue Longvic 21300 CHENÔVE FR,47.284964,5.021763,Chenôve,21300
48 bis boulevard Robert Schuman 50100 CHERBOURG FR,49.636129,-1.625882,Cherbourg-en-Cotentin,50100
35 avenue Edmond Michelet 49300 CHOLET FR,47.07391,-0.843867,Cholet,49300
62 avenue Jean Jaurès 92140 CLAMART FR,48.803737,2.265857,Clamart,92140
Shopping Promenade 77410 CLAYE-SOUILLY FR,48.94585,2.688381,Claye-Souilly,77410
103 route de Rouffach 68000 COLMAR FR,48.064228,7.34066,Colmar,68000
3 quai Carnot 29900 CONCARNEAU FR,47.874336,-3.918134,Concarneau,29900
10 rue Maurice Berteaux 78700 CONFLANS-SAINTE-HONORINE FR,48.991989,2.090925,Conflans-Sainte-Honorine,78700
Place de Cantorbery 62231 COQUELLES FR,50.93755,1.809907,Coquelles,62231
C.C. Carrefour Villabé 91100 CORBEIL-ESSONNES FR,48.592419,2.458998,Villabé,91100
ZAC - 2 rue des Alleux 51350 CORMONTREUIL FR,49.215088,4.049994,Cormontreuil,51350
2-4 place du Marché - 16 rue du Marché 77120 COULOMMIERS FR,48.814009,3.084249,Coulommiers,77120
C.C. Carrefour Les Bouchardes 71680 CRÊCHES-SUR-SAÔNE FR,46.249726,4.789279,Crêches-sur-Saône,71680
Place de la Prévôté 33670 CRÉON FR,44.77445,-0.348253,Créon,33670
C.C. Carrefour Créteil Soleil 94000 CRÉTEIL FR,48.785869,2.45101,Créteil,94000
162 Route de Toulouse 31270 CUGNAUX FR,43.558421,1.366407,Cugnaux,31270
57 rue de la République 07430 DAVEZIEUX FR,45.255797,4.696506,Davézieux,07430
C.C. Carrefour - La Toison d'Or DIJON FR,47.355813,5.054535,Dijon,21000
5 rue Mably DIJON FR,46.085925,4.062934,Mably,42300
52 bis rue Longvic DIJON FR,47.311065,5.047296,Dijon,21000
C.C. Carrefour DIJON FR,47.322035,5.041478,Dijon,21000
9 place Duclos 22100 DINAN FR,48.453675,-2.048076,Dinan,22100
3 rue Léon Bel - ZAC des Épenottes 39100 DOLE FR,47.107222,5.505664,Dole,39100
514 rue de Paris 59500 DOUAI FR,50.363729,3.078703,Douai,59500
16 Rue Jean Bart 29100 DOUARNENEZ FR,48.093942,-4.329603,Douarnenez,29100
36 boulevard Georges Clémenceau 83300 DRAGUIGNAN FR,43.536013,6.464173,Draguignan,83300
16 rue Nationale 59140 DUNKERQUE FR,51.033666,2.377384,Dunkerque,59140
C.C. E.Leclerc - ZAC de Comboire 38130 ÉCHIROLLES FR,45.147223,5.694049,Échirolles,38130
C.C. Carrefour - Le Pérollier 69130 ÉCULLY FR,45.789757,4.778636,Écully,69130
35  rue du Général de Gaulle 95880 ENGHIEN LES BAINS FR,48.971066,2.307671,Enghien-les-Bains,95880
15 place Léon Bourgeois 51200 ÉPERNAY FR,49.04554,3.954725,Épernay,51200
C.C. Art de Vivre 95610 ÉRAGNY FR,49.023796,2.102019,Éragny,95610
35 place Notre Dame 91150 ÉTAMPES FR,48.434115,2.163188,Étampes,91150
1 rue Charles Corbeau 27000 ÉVREUX FR,49.024536,1.15029,Évreux,27000
6 place Vival 46100 FIGEAC FR,44.608053,2.032768,Figeac,46100
49 rue Saint Louis 59610 FOURMIES FR,50.015712,4.045812,Fourmies,59610
C.C. Carrefour 69340 FRANCHEVILLE FR,45.738024,4.771169,Francheville,69340
C.C. Géant 83600 FRÉJUS FR,43.374062,6.71137,Fréjus,83370
20 rue des Moissons - SILIC 213 - ZAC de la Ceriseraie 94260 FRESNES FR,48.753503,2.330239,Fresnes,94260
14 route de Saurs 81600 GAILLAC FR,43.893405,1.878438,Gaillac,81600
ZI la Palun 57 avenue de Nice 13120 GARDANNE FR,43.450787,5.469014,Gardanne,13120
12 rue de Vienne 27140 GISORS FR,49.280235,1.776942,Gisors,27140
29 Rue de la Paix 69700 GIVORS FR,45.579343,4.737059,Givors,69700
150 cours du Général de Gaulle 33170 GRADIGNAN FR,44.771526,-0.614804,Gradignan,33170
15 rue de la République 38000 GRENOBLE FR,45.190574,5.730047,Grenoble,38000
69 rue du Milieu 59190 HAZEBROUCK FR,50.717098,2.545681,Hazebrouck,59190
C.C. Cora - RN 7 54180 HOUDEMONT FR,48.647165,6.176478,Houdemont,54180
6-8 rue de l'Église 78800 HOUILLES FR,48.925296,2.188428,Houilles,78800
ZAC Le Méridien - route de Pau 65420 IBOS FR,43.239779,0.015476,Ibos,65420
112 avenue de Fontainebleau 94270 KREMLIN-BICÊTRE FR,48.808878,2.362565,Le Kremlin-Bicêtre,94270
ZAC du Pont des Rayons - Bois de Cassan - C.C. Le Grand Val 95290 L'ISLE-ADAM FR,49.123334,2.228131,L'Isle-Adam,95290
146 avenue des Sorgues 84800 L'ISLE-SUR-LA-SORGUE FR,43.931511,5.062952,L'Isle-sur-la-Sorgue,84800
92 rue Moulin aux Moines 72650 LA CHAPELLE-SAINT-AUBIN FR,48.038247,0.176783,La Chapelle-Saint-Aubin,72650
C.C. Carrefour Virebelle 13600 LA CIOTAT FR,43.184897,5.60623,La Ciotat,13600
5 rue du 4 septembre 72400 LA FERTE-BERNARD FR,48.186412,0.648762,La Ferté-Bernard,72400
Carrefour des 4 Chemins 83130 LA GARDE FR,43.137528,6.026269,La Garde,83130
128 rue du Général de Gaulle 59110 LA MADELEINE FR,50.652867,3.073078,La Madeleine,59110
11 bis rue de Dompierre 17000 LA ROCHELLE FR,46.163814,-1.138,La Rochelle,17000
C.C. Auchan - La Trinité 06340 LA TRINITÉ FR,43.742048,7.313958,La Trinité,06340
C.C. Cap Océan 9000 avenue de Verdun 33260 LA-TESTE-DE-BUCH FR,44.636579,-1.152299,La Teste-de-Buch,33260
C.C. Carrefour - Labège 2 31671 LABÈGE FR,43.528982,1.529849,Labège,31670
1 Rue Docteur Calmette 22400 LAMBALLE-ARMOR FR,48.469357,-2.515809,Lamballe,22400
Rue Laennec - Rue de la Marne 29800 LANDERNEAU FR,48.449199,-4.262009,Landerneau,29800
25 rue Louis Pasteur 29400 LANDIVISIAU FR,48.510272,-4.070318,Landivisiau,29400
25 rue François Mauriac 56600 LANESTER FR,47.765597,-3.345618,Lanester,56600
84 cours du Général Leclerc 33210 LANGON FR,44.553451,-0.248108,Langon,33210
C.C. Carrefour - ZAC Île-de-France 02200 LAON FR,49.069367,2.425486,Mareil-en-France,95850
45 rue Albert Thomas 53000 LAVAL FR,48.067482,-0.803162,Laval,53000
75 avenue de Cocagne - Z.A. le Rouch 81500 LAVAUR FR,43.704531,1.799809,Lavaur,81500
20 rue de la Sapinière 54520 LAXOU FR,48.69155,6.128393,Laxou,54520
6 avenue de la Libération Charles de Gaulle 33110 LE BOUSCAT FR,44.854005,-0.593877,Le Bouscat,33110
1990 route Nationale N°7 83340 Le Cannet-des-Maures FR,43.404495,6.344627,Le Cannet-des-Maures,83340
C.C. Super U - Z.A. Port de Pêche 30240 LE GRAU-DU-ROI FR,43.533554,4.146377,Le Grau-du-Roi,30240
28 Place de l'Hôtel de ville 76600 LE HAVRE FR,49.492254,0.109148,Le Havre,76600
C.C. Carrefour LE-MANS FR,42.462065,1.937261,Ur,66760
11 place des Jacobins LE-MANS FR,48.007359,0.19988,Le Mans,72000
92 rue Moulin aux Moines LE-MANS FR,48.035139,0.17938,Le Mans,72000
Family Village LE-MANS FR,42.937677,2.193983,Fa,11260
ZAC La Baronnie 73330 LE PONT-DE-BEAUVOISIN FR,45.530393,5.684825,Le Pont-de-Beauvoisin,73330
24 rue René Lanoy 62300 LENS FR,50.43058,2.83346,Lens,62300
C.C. Carrefour - La Pioline 13290 LES MILLES FR,48.483567,4.611764,Lentilles,10330
2 rue des Romains 11200 LÉZIGNAN-CORBIÈRES FR,43.185599,2.7554,Lézignan-Corbières,11200
187 avenue du Maréchal Foch 33500 LIBOURNE FR,44.926747,-0.239758,Libourne,33500
C.C. Euralille 59000 LILLE FR,50.637721,3.073728,Lille,59777
44 rue Pont Mortain 14100 LISIEUX FR,49.143491,0.226755,Lisieux,14100
15 avenue des Frais Fonds 62219 LONGUENESSE FR,50.736174,2.274548,Longuenesse,62219
3 rue de l'Assemblée Nationale 56100 LORIENT FR,47.748481,-3.363199,Lorient,56100
Parc des Crozes 26270 LORIOL FR,44.758774,4.833698,Loriol-sur-Drôme,26270
C.C. Carrefour - 4 Pavillons 33310 LORMONT FR,44.868829,-0.5193,Lormont,33310
3 rue de Moncontour 22600 LOUDÉAC FR,48.177001,-2.755495,Loudéac,22600
121 boulevard de la République 34400 LUNEL FR,43.676831,4.131063,Lunel,34400
40 Grande rue de Vaise 69009 LYON FR,45.772859,4.842138,Lyon,69006
62 avenue Jean Jaurès 69007 LYON FR,45.748681,4.843737,Lyon,69007
48 avenue Maréchal de Saxe 69006 LYON FR,45.764671,4.844558,Lyon,69006
116 avenue des Frères Lumière 69008 LYON FR,45.744251,4.869332,Lyon,69008
Avenue Édouard Herriot - ZAC Carrefour de l'Europe 71000 MÂCON FR,46.296937,4.823395,Mâcon,71000
ZI Les Tourrades - allée Dieudonné Costes 06210 MANDELIEU-LA-NAPOULE FR,43.556653,6.952779,Mandelieu-la-Napoule,06210
6 allée Alphonse Daudet 04100 MANOSQUE FR,43.827704,5.781738,Manosque,04100
4 rue du Vieux Pilori 78200 MANTES-LA-JOLIE FR,48.990215,1.716452,Mantes-la-Jolie,78200
C.C. les Grandes Terres - lot 670 78160 MARLY-LE-ROI FR,48.879846,2.099839,Marly-le-Roi,78160
1 rue de l'Union - Village des Voiles 2 59520 MARQUETTE-LEZ-LILLE FR,50.680573,3.062361,Marquette-lez-Lille,59520
C.C. Auchan Saint Loup 13010 MARSEILLE FR,43.275872,5.434552,Marseille,13010
88 rue Montaigne 13012 MARSEILLE FR,43.30399,5.415989,Marseille,13012
C.C. Géant Croix Rouge - Chemin du Vallon Vert 13013 MARSEILLE FR,43.335417,5.454283,Marseille,13013
8 avenue Jules Cantini 13006 MARSEILLE FR,43.285059,5.385175,Marseille,13006
16 boulevard du 14 juillet 13500 MARTIGUES FR,43.408644,5.055521,Martigues,13500
C.C. Carrefour - Marzy 58180 MARZY FR,46.984964,3.072361,Marzy,58180
C.C. Cora 91300 MASSY FR,48.72645,2.264466,Massy,91300
Rond-point Laurent Schwartz 78310 MAUREPAS FR,48.759601,1.918241,Maurepas,78310
13 boulevard du Général Leclerc 53100 MAYENNE FR,48.300319,-0.612812,Mayenne,53100
34 rue du Commandant Berge 77100 MEAUX FR,48.956008,2.879449,Meaux,77100
39 avenue de la Marne 33700 MÉRIGNAC FR,44.837897,-0.619207,Mérignac,33700
C.C. Les 3 Villes Sœurs 80350 MERS-LES-BAINS FR,50.05932,1.407149,Mers-les-Bains,80350
ZAC Les Marquises 60110 MÉRU FR,49.240529,2.131343,Méru,60110
C.C. Cora - Metz Technopôle 57070 METZ FR,49.13363,6.202202,Saint-Julien-lès-Metz,57070
56 rue de la République 69330 MEYZIEU FR,45.76663,5.001753,Meyzieu,69330
37 avenue Charles de Gaulle 13140 MIRAMAS FR,43.583038,5.001352,Miramas,13140
36 place de l'Hôtel de Ville 67120 MOLSHEIM FR,48.541544,7.492111,Molsheim,67120
1265 avenue de l'Abbaye - ZAC Sapiac 82000 MONTAUBAN FR,44.003602,1.356074,Montauban,82000
ZAC - Centre Espace 1 - RD 562 83440 MONTAUROUX FR,43.608177,6.766719,Montauroux,83440
202 route de Marseille 26200 MONTÉLIMAR FR,44.534243,4.745934,Montélimar,26200
C.C. Carrefour 78360 MONTESSON FR,48.910085,2.142651,Montesson,78360
C.C. Saint Quentin - 12 Rue Colbert 78180 MONTIGNY-LE-BRETONNEUX FR,48.782275,2.043425,Montigny-le-Bretonneux,78180
121 rue de Pont-à-Mousson 57950 MONTIGNY-LÈS-METZ FR,49.10139,6.155471,Montigny-lès-Metz,57950
1200 avenue de Toulouse 34000 MONTPELLIER FR,43.59254,3.858807,Montpellier,34070
ZAC du Chêne Vert 72500 MONTVAL SUR LOIR FR,47.708058,0.439621,Montval-sur-Loir,72500
C.C. Intermarché Super - Zone du Bronut 56500 MORÉAC FR,47.892841,-2.833239,Moréac,56500
5 Place de la Paix 31600 MURET FR,43.460958,1.325272,Muret,31600
C.C. Saint Sébastien 54000 NANCY FR,48.688346,6.180936,Nancy,54000
3 rue de la Barillerie 44000 NANTES FR,47.21533,-1.555135,Nantes,44000
4 Rue Alfred Chauchard 11100 NARBONNE FR,43.179019,3.030174,Narbonne,11100
32 bis rue de Paris 77140 NEMOURS FR,48.267324,2.695859,Nemours,77140
C.C. Intermarché - Les Bords de Loire - rue Bernard Palissy 58000 NEVERS FR,46.985455,3.174349,Nevers,58000
C.C. Nice Lingostière NICE FR,42.462065,1.937261,Ur,66760
