shop_name,address,latitude,longitude,city,postcode
Audioprothésiste CORMEILLES EN PARISIS Audition Santé,24 avenue FOCH 95240 CORMEILLES EN PARISIS FR,48.970701,2.195963,Cormeilles-en-Parisis,95240
Audioprothésiste Cachan Audition Santé,2/4 place Jacques Carat Ancienne place Ovale 94230 Cachan FR,48.793178,2.336042,Cachan,94230
Audioprothésiste Cahors Audition Santé,105 boulevard Gambetta 46000 Cahors FR,44.444568,1.441799,Cahors,46000
Audioprothésiste Carbonne Audition Santé,32 bis Place de la République 31390 Carbonne FR,43.296835,1.224742,Carbonne,31390
Audioprothésiste Carpentras AuditionSanté,"Les Jardins de la Fontaine
284 Avenue du Comtat Venaissin 84200 Carpentras FR",44.050521,5.054885,Carpentras,84200
Audioprothésiste Castelnau-le-Lez Audition Santé,1 Allée Marie Curie 34170 Castelnau-le-Lez FR,43.632374,3.899318,Castelnau-le-Lez,34170
Audioprothésiste Castets Audition Santé,48 rue Sainte-Hélène 40260 Castets FR,43.882151,-1.1478,Castets,40260
Audioprothésiste Caussade Audition Santé,14 rue des Récollets 82300 Caussade FR,44.162835,1.537341,Caussade,82300
Audioprothésiste Cavaillon Audition Santé,15 cours Gambetta 84300 Cavaillon FR,43.836833,5.0403,Cavaillon,84300
Audioprothésiste Cazères Audition Santé,10 place d'Armes 31220 Cazères FR,43.205858,1.086869,Cazères,31220
Audioprothésiste Cenon Audition Santé,Centre Commercial La Morlette Galerie Casino Supermarché 33150 Cenon FR,44.853526,-0.518498,Cenon,33150
Audioprothésiste Cenon Pelletan AuditionSanté,55 rue Camille Pelletan 33150 Cenon FR,44.857598,-0.51978,Cenon,33150
Audioprothésiste Chagny Audition Santé,14 avenue du Général de Gaulle 71150 Chagny FR,46.911929,4.754595,Chagny,71150
Audioprothésiste Champigny Audition Santé,8 rue Albert Thomas 94500 Champigny-sur-Marne FR,48.811207,2.510467,Champigny-sur-Marne,94500
Audioprothésiste Chauny AuditionSanté,"Corner chez VISION 9
39 rue de la République 02300 Chauny FR",49.614224,3.219351,Chauny,02300
Audioprothésiste Chauvigny Audition Santé,45 ter route de Poitiers 86300 Chauvigny FR,46.567917,0.630895,Chauvigny,86300
Audioprothésiste Chinon Audition Santé,86 Quai Jeanne d'Arc 37500 Chinon FR,47.165406,0.242665,Chinon,37500
Audioprothésiste Cholet Audition Santé,10 bis place du Mail 49300 Cholet FR,47.05974,-0.882483,Cholet,49300
Audioprothésiste Saint-Auban Audition Santé,14 cours Pechiney 04600 Château-Arnoux-Saint-Auban FR,44.093367,6.008905,Château-Arnoux-Saint-Auban,04160
Audioprothésiste Châteauneuf-les-Martigues Audition Santé,7 avenue du 4 septembre 13220 Châteauneuf-les-Martigues FR,43.38311,5.165608,Châteauneuf-les-Martigues,13220
Audioprothésiste Châteauroux Audition Santé,23 rue de la Poste 36000 Châteauroux FR,46.810502,1.693369,Châteauroux,36000
Audioprothésiste Châtellerault Audition Santé,23 place Dupleix 86100 Châtellerault FR,46.818341,0.5424,Châtellerault,86100
Audioprothésiste Cluny Audition Santé,20 rue Lamartine Chez Optique Wolff 71250 Cluny FR,46.433226,4.659165,Cluny,71250
