shop_name,address,latitude,longitude,city,postcode
Amplifon Audioprothésiste La Verpillière,53 rue de la République 38290 La Verpilliere,45.633473,5.147899,La Verpillière,38290
Amplifon Audioprothésiste Lagnieu,15 rue Pasteur 01150 Lagnieu,45.903899,5.349015,Lagnieu,01150
Amplifon Audioprothésiste Lapalisse,7 rue Winston Churchill - Chez l'opticien Optique Sollier SAS 03120 Lapalisse,46.248632,3.635428,Lapalisse,03120
Amplifon Audioprothésiste Le Chambon,25 rue Gambetta - Chez Hervé Optique 42500 Le Chambon-Feugerolles,45.396624,4.327733,Le Chambon-Feugerolles,42500
Amplifon Audioprothésiste Le Pont de Beauvoisin,22 place du Professeur Trillat 38480 Le Pont de Beauvoisin,45.534974,5.670286,Le Pont-de-Beauvoisin,38480
Amplifon Audioprothésiste Le Puy en Velay,33 place du Breuil 43000 Le Puy en Velay,45.042092,3.884544,Le Puy-en-Velay,43000
Amplifon Audioprothésiste Le Teil,Entre Pont et Rhône - Chez Espace Optique Chazalon 07400 Le Teil,44.554308,4.689785,Le Teil,07400
Amplifon Audioprothésiste Les Vans,Place Ollier 07140 Les Vans,44.405507,4.131114,Les Vans,07140
Amplifon Audioprothésiste Lyon 7 Gambetta,118 cours Gambetta 69007 Lyon,45.75101,4.855037,Lyon,69007
Amplifon Audioprothésiste Lyon 8 Etats Unis,71 boulevard des Etats-Unis 69008 Lyon,45.733328,4.864883,Lyon,69008
Amplifon Audioprothésiste Lyon 8 Monplaisir,52 avenue des Frères Lumière 69008 Lyon,45.745573,4.864346,Lyon,69008
Amplifon Audioprothésiste Lyon Aqueducs,3 rue des Aqueducs 69005 Lyon,45.756827,4.796575,Lyon,69005
Amplifon Audioprothésiste Lyon Croix Rousse,87 boulevard de La Croix Rousse - BP 4257 69004 Lyon,45.773945,4.82418,Lyon,69004
Amplifon Audioprothésiste Lyon La Part Dieu,163 cours Lafayette 69006 Lyon,45.763755,4.855465,Lyon,69006
Amplifon Audioprothésiste Lyon Montchat,77 cours du Docteur Long 69003 Lyon,45.750266,4.886542,Lyon,69003
Amplifon Audioprothésiste Lyon Point du jour,50 avenue du point du jour 69005 Lyon,45.756549,4.799323,Lyon,69005
Amplifon Audioprothésiste Lyon Voir et Entendre,5 Place des Cordeliers 69002 Lyon,45.763653,4.837864,Lyon,69002
Amplifon Audioprothésiste Meximieux,"39 rue de Lyon - Chez Krys, c.c. Carrefour Market 01800 Meximieux",45.901227,5.190053,Meximieux,01800
Amplifon Audioprothésiste Meylan,42 avenue de la Plaine Fleurie 38240 Meylan,45.203438,5.76044,Meylan,38240
Amplifon Audioprothésiste Meyzieu,69 rue de la République 69330 Meyzieu,45.766851,5.002241,Meyzieu,69330
Amplifon Audioprothésiste Mions,rue du 19 Mars 1962 - Centre Commercial La Halle 69780 Mions,45.666093,4.957529,Mions,69780
Amplifon Audioprothésiste Montbrison,6 rue Notre Dame 42600 Montbrison,45.605944,4.065719,Montbrison,42600
Amplifon Audioprothésiste Montluçon,10 avenue Jules Ferry 03100 Montluçon,46.339679,2.599166,Montluçon,03100
Amplifon Audioprothésiste Montrond-les-Bains,38 rue de l'Eglise 42210 Montrond-les-Bains,45.64309,4.227805,Montrond-les-Bains,42210
Amplifon Audioprothésiste Moulins,58 place d'Allier 03000 Moulins,46.564816,3.330608,Moulins,03000
Amplifon Audioprothésiste Neuville,45 rue de la République 69250 Neuville,45.875451,4.840075,Neuville-sur-Saône,69250
Amplifon Audioprothésiste Nyons,42 avenue Henri Rochier 26110 Nyons,44.361617,5.13662,Nyons,26110
Amplifon Audioprothésiste Optique Mornant,15 avenue du Souvenir - Chez Optique Mornant 69440 Mornant,45.620822,4.673498,Mornant,69440
Amplifon Audioprothésiste Oullins,150 Grande rue 69600 Oullins,45.713737,4.805573,Oullins,69600
Amplifon Audioprothésiste Oyonnax,21 rue Michelet 01100 Oyonnax,46.259493,5.654517,Oyonnax,01100
Amplifon Audioprothésiste Pierrelatte,8 boulevard Maréchal Juin - Centre Léonard de Vinci 26700 Pierrelatte,44.376679,4.693241,Pierrelatte,26700
Amplifon Audioprothésiste Pont du Château,chemin de la Lissandre Les Creux 63430 Pont du Château,45.793021,3.230672,Pont-du-Château,63430
Amplifon Audioprothésiste Pontcharra,188 rue Laurent Gayet 38530 Pontcharra,45.432887,6.023576,Pontcharra,38530
Amplifon Audioprothésiste Portes lès Valence,53 rue Jean Jaurès 26800 Portes lès Valence,44.87615,4.877245,Portes-lès-Valence,26800
Amplifon Audioprothésiste Privas,1 rue de la République 07000 Privas,44.734903,4.597651,Privas,07000
