shop_name,address,latitude,longitude,city,postcode
Audioprothésiste AUTUN Optical Center,"ZAC de Bellevue, Avenue Pierre Brossolette 71400 Autun",46.96321,4.305325,Autun,71400
Audioprothésiste MAYENNE - Optical Center,515 rue de la Peyennières 53100 Mayenne,48.287197,-0.613008,Mayenne,53100
Audioprothésiste CAUDEBEC-LÈS-ELBEUF Optical Center,1233 rue aux saulniers - Promenade de l'Oison - Zone E.Leclerc 76320 Caudebec les elbeuf,49.287176,1.037094,Caudebec-lès-Elbeuf,76320
Audioprothésiste LAON Optical Center,"5, place Victor Hugo 02000 Laon",49.570529,3.63347,Laon,02000
Audioprothésiste CHECY Optical Center,20 rue Gustave Eiffel 45430 Checy,47.905135,2.032592,Chécy,45430
Audioprothésiste GUISE Optical Center,60 rue de l'Europe 02120 Guise,49.904974,3.645734,Guise,02120
Audioprothésiste LA CELLE-SAINT-CLOUD Optical Center,18 Avenue de la Jonchère 78170 La celle-saint-cloud,48.859458,2.147127,La Celle-Saint-Cloud,78170
Audioprothésiste CERNAY Optical Center,3 rue de Normandie 68700 Cernay,47.793345,7.173267,Cernay,68700
Audioprothésiste COUDEKERQUE-BRANCHE Optical Center,"48, route de Bergues 59210 Coudekerque branche",51.012161,2.379373,Coudekerque-Branche,59210
Audioprothésiste FOUESNANT Optical Center,1 Pôle Cial Cascade 29170 Fouesnant,47.862601,-3.992861,Fouesnant,29170
Audioprothésiste LESPARRE-MÉDOC Optical Center,24 route de Bordeaux 33340 Lesparre médoc,45.299197,-0.931903,Lesparre-Médoc,33340
Audioprothésiste GRANDE SYNTHE Optical Center,Centre commercial Auchan 59760 Grande synthe,51.011837,2.287962,Grande-Synthe,59760
Audioprothésiste GAILLAC Optical Center,178 avenue Saint-Exupéry 81600 Gaillac,43.89609,1.883475,Gaillac,81600
Audioprothésiste ONET LE CHATEAU Optical Center,Avenue Joël Pilon 12850 Onet le chateau,44.393012,2.600169,Onet-le-Château,12850
Audioprothésiste FLERS-EN-ESCREBIEUX - Optical Center,Zone Commerciale Carrefour Flers 59128 Flers en escrebieux,50.398197,3.045897,Flers-en-Escrebieux,59128
Audioprothésiste SAINT-CYR-SUR-LOIRE - Optical Center,"12, Bd André-Georges Voisin 37540 Saint-cyr-sur-loire",47.429312,0.663411,Saint-Cyr-sur-Loire,37540
Audioprothésiste MEYZIEU Optical Center,"32, rue Paul Cézanne 69330 Meyzieu",45.767978,4.98691,Meyzieu,69330
Audioprothésiste CHÂTEAUROUX - SAINT-MAUR Optical Center,"66, avenu de l'Occitanie 36250 Saint maur",46.78672,1.658158,Saint-Maur,36250
Audioprothésiste OULLINS Optical Center,141 Grande Rue 69600 Oullins,45.713398,4.805589,Oullins,69600
Audioprothésiste RETHEL Optical Center,ZI de l'Étoile 08300 Rethel,49.512292,4.366697,Rethel,08300
