shop_name,address,latitude,longitude,city,postcode
91 - Vivason Brunoy,11 grande Rue 91800 Brunoy France,48.698134,2.50309,Brunoy,91800
92 - Vivason Clichy-la-Garenne,90 boulevard Jean Jaurès 92110 Clichy France,48.903336,2.303679,Clichy,92110
92 - Vivason Antony,2 rue Auguste Mounié 92160 Antony France,48.75353,2.304868,Antony,92160
92 - Vivason Vanves,1 avenue Victor Hugo 92170 Vanves France,48.822186,2.285352,Vanves,92170
92 - Vivason Neuilly-sur-Seine,26 avenue Charles de Gaulle 92200 Neuilly-sur-Seine France,48.879309,2.278668,Neuilly-sur-Seine,92200
92 - Vivason Rueil Malmaison,1 bis rue de la Réunion 92500 Rueil-Malmaison France,48.878456,2.178081,Rueil-Malmaison,92500
93 - Vivason Montreuil,58 boulevard Rouget de Lisle 93100 Montreuil France,48.858948,2.437559,Montreuil,93100
93 - Vivason Livry-Gargan,18 boulevard de Chanzy 93190 Livry-Gargan France,48.909426,2.518843,Livry-Gargan,93190
93 - Vivason Aulnay-sous-Bois,18 boulevard de Strasbourg 93600 Aulnay-sous-Bois France,48.928945,2.491956,Aulnay-sous-Bois,93600
93 - Vivason Drancy,90 avenue Henri Barbusse 93700 Drancy France,48.918265,2.448336,Drancy,93700
94 - Vivason Créteil ,2 avenue du Maréchal de Lattre de Tassigny 94000 Créteil France,48.795429,2.459103,Créteil,94000
94 - Vivason Vincennes,109 rue de Fontenay 94300 Vincennes France,48.848317,2.435135,Vincennes,94300
95 - Vivason Argenteuil,76 avenue Gabriel Péri 95100 Argenteuil France,48.94577,2.249543,Argenteuil,95100
95 - Vivason Cergy-Pontoise (Osny),16 rue du Petit Albi  Centre de Santé 95520 Osny France,49.054133,2.043534,Osny,95520
95 - Vivason Enghien-les-Bains,15 rue du Général de Gaulle 95880 Enghien-Les-Bains France,48.972035,2.309116,Enghien-les-Bains,95880
